# Emissivities T5000 T10000 T20000 a b c e
# Benjamin+1999 ApJ_514_307
4pijHb/nenH+ 2.22e-25 1.24e-25 6.59e-26 1.36e-25 -0.979 -0.095 0.69 
4pij4686/nenHe++ 2.96e-24 1.49e-24 7.22e-25 1.63e-24 -1.110 -0.086 0.64
4pijBr/nenH+ 2.14e-25 1.15e-25 5.81e-26 1.31e-25 -1.078 -0.127 0.70 
4pij4473/nenHe+ 1.18e-25 6.52e-26 5.07e-26 3.36e-26 0.092 0.665 3.72 
j2946/j4473 0.357 0.419 0.359 2.62e-26 -0.563 0.043 0.88
j3189/j4473 0.748 0.931 0.997 4.13e-26 0.011 0.385 1.60
j3615/j4473 0.094 0.104 0.078 7.61e-27 -0.864 -0.111 0.52
j3890/j4473 1.891 2.555 2.953 1.14e-25 0.129 0.380 1.85
j3966/j4473 0.194 0.219 0.187 1.28e-26 -0.516 0.113 0.55
j4027/j4473 0.450 0.440 0.284 3.31e-26 -1.097 -0.144 0.76
j4122/j4473 0.028 0.037 0.036 2.36e-27 -0.391 0.037 0.52
j4389/j4473 0.120 0.116 0.074 8.81e-27 -1.120 -0.151 0.53
j4439/j4473 0.013 0.016 0.014 1.05e-27 -0.546 -0.007 0.51
j4473/j4473 1.000 1.000 1.000 3.36e-26 0.092 0.665 3.72
j4715/j4473 0.076 0.146 0.291 4.25e-27 1.251 0.805 5.07
j4923/j4473 0.269 0.259 0.196 1.40e-26 -0.634 0.192 0.60
j5017/j4473 0.498 0.572 0.503 3.19e-26 -0.432 0.157 0.55
j5049/j4473 0.031 0.045 0.059 1.84e-27 0.381 0.479 0.72 
j5877/j4473 2.966 2.933 3.118 8.42e-26 0.304 0.821 3.24 
j6680/j4473 0.849 0.775 0.554 4.17e-26 -0.712 0.192 0.56 
j7067/j4473 0.398 0.943 1.525 6.49e-26 0.323 -0.053 4.15
j7283/j4473 0.118 0.196 0.236 1.19e-26 -0.012 0.072 0.81
j9466/j4473 0.020 0.023 0.020 1.45e-27 -0.563 0.043 0.88 
j10833/j4473 12.910 31.393 40.743 3.58e-24 -0.383 -0.558 2.83
j11973/j4473 0.045 0.044 0.029 3.34e-27 -1.097 -0.144 0.76 
j12531/j4473 0.024 0.030 0.032 1.32e-27 0.011 0.385 1.60 
j12789/j4473 0.173 0.143 0.079 1.07e-26 -1.328 -0.138 0.69
j12793/j4473 0.058 0.048 0.026 3.58e-27 -1.328 -0.138 0.52 
j12972/j4473 0.015 0.015 0.009 1.12e-27 -1.120 -0.151 0.53
j15088/j4473 0.010 0.012 0.010 6.79e-28 -0.516 0.113 0.55
j17007/j4473 0.066 0.066 0.066 2.22e-27 0.092 0.665 3.72
j18690/j4473 0.429 0.347 0.239 1.59e-26 -0.663 0.353 2.33
j18701/j4473 0.143 0.113 0.064 7.32e-27 -1.192 0.86 0.53
j19091/j4473 0.025 0.024 0.018 1.29e-27 -0.634 0.192 0.60
j19550/j4473 0.014 0.017 0.019 7.72e-28 0.011 0.385 1.60
j10589/j4473 0.758 1.036 0.899 835e-26 -0.708 -0212 0.65
j21128/j4473 0.012 0.022 0.004 6.49e-28 1.251 0.805 5.07
