# line ne Te tau C
# SFR = C * L_HeI / (1.26e41) / (0.0852 Y) Msun/yr
# Y = 0.25+26.13*10**(logOH-12); Izotov+14
# see Morishita et al., 2024
10830 100 10000 270 0.3014
10830 100 10000 280 0.2759
10830 100 10000 290 0.2501
10830 100 15000 0 0.7641
10830 100 15000 10 0.7595
10830 100 15000 20 0.7535
10830 100 15000 30 0.7460
10830 100 15000 40 0.7372
10830 100 15000 50 0.7271
10830 100 15000 60 0.7159
10830 100 15000 70 0.7036
10830 100 15000 80 0.6903
10830 100 15000 90 0.6760
10830 100 15000 100 0.6607
10830 100 15000 110 0.6447
10830 100 15000 120 0.6278
10830 100 15000 130 0.6101
10830 100 15000 140 0.5917
10830 100 15000 150 0.5727
10830 100 15000 160 0.5530
10830 100 15000 170 0.5326
10830 100 15000 180 0.5117
10830 100 15000 190 0.4903
10830 100 15000 200 0.4683
10830 100 15000 210 0.4458
10830 100 15000 220 0.4228
10830 100 15000 230 0.3993
10830 100 15000 240 0.3754
10830 100 15000 250 0.3512
10830 100 15000 260 0.3265
10830 100 15000 270 0.3014
10830 100 15000 280 0.2759
10830 100 15000 290 0.2501
10830 100 20000 0 0.7641
10830 100 20000 10 0.7595
10830 100 20000 20 0.7535
10830 100 20000 30 0.7460
10830 100 20000 40 0.7372
10830 100 20000 50 0.7271
10830 100 20000 60 0.7159
10830 100 20000 70 0.7036
10830 100 20000 80 0.6903
10830 100 20000 90 0.6760
10830 100 20000 100 0.6607
10830 100 20000 110 0.6447
10830 100 20000 120 0.6278
10830 100 20000 130 0.6101
10830 100 20000 140 0.5917
10830 100 20000 150 0.5727
10830 100 20000 160 0.5530
10830 100 20000 170 0.5326
10830 100 20000 180 0.5117
10830 100 20000 190 0.4903
10830 100 20000 200 0.4683
10830 100 20000 210 0.4458
10830 100 20000 220 0.4228
10830 100 20000 230 0.3993
10830 100 20000 240 0.3754
10830 100 20000 250 0.3512
10830 100 20000 260 0.3265
10830 100 20000 270 0.3014
10830 100 20000 280 0.2759
10830 100 20000 290 0.2501
10830 100 25000 0 0.7641
10830 100 25000 10 0.7595
10830 100 25000 20 0.7535
10830 100 25000 30 0.7460
10830 100 25000 40 0.7372
10830 100 25000 50 0.7271
10830 100 25000 60 0.7159
10830 100 25000 70 0.7036
10830 100 25000 80 0.6903
10830 100 25000 90 0.6760
10830 100 25000 100 0.6607
10830 100 25000 110 0.6447
10830 100 25000 120 0.6278
10830 100 25000 130 0.6101
10830 100 25000 140 0.5917
10830 100 25000 150 0.5727
10830 100 25000 160 0.5530
10830 100 25000 170 0.5326
10830 100 25000 180 0.5117
10830 100 25000 190 0.4903
10830 100 25000 200 0.4683
10830 100 25000 210 0.4458
10830 100 25000 220 0.4228
10830 100 25000 230 0.3993
10830 100 25000 240 0.3754
10830 100 25000 250 0.3512
10830 100 25000 260 0.3265
10830 100 25000 270 0.3014
10830 100 25000 280 0.2759
10830 100 25000 290 0.2501
10830 300 5000 0 0.6638
10830 300 5000 10 0.6599
10830 300 5000 20 0.6546
10830 300 5000 30 0.6481
10830 300 5000 40 0.6405
10830 300 5000 50 0.6317
10830 300 5000 60 0.6220
10830 300 5000 70 0.6113
10830 300 5000 80 0.5997
10830 300 5000 90 0.5873
10830 300 5000 100 0.5740
10830 300 5000 110 0.5601
10830 300 5000 120 0.5454
10830 300 5000 130 0.5301
10830 300 5000 140 0.5141
10830 300 5000 150 0.4975
10830 300 5000 160 0.4804
10830 300 5000 170 0.4628
10830 300 5000 180 0.4446
10830 300 5000 190 0.4259
10830 300 5000 200 0.4068
10830 300 5000 210 0.3873
10830 300 5000 220 0.3673
10830 300 5000 230 0.3469
10830 300 5000 240 0.3262
10830 300 5000 250 0.3051
10830 300 5000 260 0.2836
10830 300 5000 270 0.2618
10830 300 5000 280 0.2397
10830 300 5000 290 0.2173
10830 300 10000 0 0.6638
10830 300 10000 10 0.6599
10830 300 10000 20 0.6546
10830 300 10000 30 0.6481
10830 300 10000 40 0.6405
10830 300 10000 50 0.6317
10830 300 10000 60 0.6220
10830 300 10000 70 0.6113
10830 300 10000 80 0.5997
10830 300 10000 90 0.5873
10830 300 10000 100 0.5740
10830 300 10000 110 0.5601
10830 300 10000 120 0.5454
10830 300 10000 130 0.5301
10830 300 10000 140 0.5141
10830 300 10000 150 0.4975
10830 300 10000 160 0.4804
10830 300 10000 170 0.4628
10830 300 10000 180 0.4446
10830 300 10000 190 0.4259
10830 300 10000 200 0.4068
10830 300 10000 210 0.3873
10830 300 10000 220 0.3673
10830 300 10000 230 0.3469
10830 300 10000 240 0.3262
10830 300 10000 250 0.3051
10830 300 10000 260 0.2836
10830 300 10000 270 0.2618
10830 300 10000 280 0.2397
10830 300 10000 290 0.2173
10830 300 15000 0 0.6638
10830 300 15000 10 0.6599
10830 300 15000 20 0.6546
10830 300 15000 30 0.6481
10830 300 15000 40 0.6405
10830 300 15000 50 0.6317
10830 300 15000 60 0.6220
10830 300 15000 70 0.6113
10830 300 15000 80 0.5997
10830 300 15000 90 0.5873
10830 300 15000 100 0.5740
10830 300 15000 110 0.5601
10830 300 15000 120 0.5454
10830 300 15000 130 0.5301
10830 300 15000 140 0.5141
10830 300 15000 150 0.4975
10830 300 15000 160 0.4804
10830 300 15000 170 0.4628
10830 300 15000 180 0.4446
10830 300 15000 190 0.4259
10830 300 15000 200 0.4068
10830 300 15000 210 0.3873
10830 300 15000 220 0.3673
10830 300 15000 230 0.3469
10830 300 15000 240 0.3262
10830 300 15000 250 0.3051
10830 300 15000 260 0.2836
10830 300 15000 270 0.2618
10830 300 15000 280 0.2397
10830 300 15000 290 0.2173
10830 300 20000 0 0.6638
10830 300 20000 10 0.6599
10830 300 20000 20 0.6546
10830 300 20000 30 0.6481
10830 300 20000 40 0.6405
10830 300 20000 50 0.6317
10830 300 20000 60 0.6220
10830 300 20000 70 0.6113
10830 300 20000 80 0.5997
10830 300 20000 90 0.5873
10830 300 20000 100 0.5740
10830 300 20000 110 0.5601
10830 300 20000 120 0.5454
10830 300 20000 130 0.5301
10830 300 20000 140 0.5141
10830 300 20000 150 0.4975
10830 300 20000 160 0.4804
10830 300 20000 170 0.4628
10830 300 20000 180 0.4446
10830 300 20000 190 0.4259
10830 300 20000 200 0.4068
10830 300 20000 210 0.3873
10830 300 20000 220 0.3673
10830 300 20000 230 0.3469
10830 300 20000 240 0.3262
10830 300 20000 250 0.3051
10830 300 20000 260 0.2836
10830 300 20000 270 0.2618
10830 300 20000 280 0.2397
10830 300 20000 290 0.2173
10830 300 25000 0 0.6638
10830 300 25000 10 0.6599
10830 300 25000 20 0.6546
10830 300 25000 30 0.6481
10830 300 25000 40 0.6405
10830 300 25000 50 0.6317
10830 300 25000 60 0.6220
10830 300 25000 70 0.6113
10830 300 25000 80 0.5997
10830 300 25000 90 0.5873
10830 300 25000 100 0.5740
10830 300 25000 110 0.5601
10830 300 25000 120 0.5454
10830 300 25000 130 0.5301
10830 300 25000 140 0.5141
10830 300 25000 150 0.4975
10830 300 25000 160 0.4804
10830 300 25000 170 0.4628
10830 300 25000 180 0.4446
10830 300 25000 190 0.4259
10830 300 25000 200 0.4068
10830 300 25000 210 0.3873
10830 300 25000 220 0.3673
10830 300 25000 230 0.3469
10830 300 25000 240 0.3262
10830 300 25000 250 0.3051
10830 300 25000 260 0.2836
10830 300 25000 270 0.2618
10830 300 25000 280 0.2397
10830 300 25000 290 0.2173
10830 1000 5000 0 0.4549
10830 1000 5000 10 0.4522
10830 1000 5000 20 0.4486
10830 1000 5000 30 0.4442
10830 1000 5000 40 0.4389
10830 1000 5000 50 0.4329
10830 1000 5000 60 0.4262
10830 1000 5000 70 0.4189
10830 1000 5000 80 0.4110
10830 1000 5000 90 0.4025
10830 1000 5000 100 0.3934
10830 1000 5000 110 0.3838
10830 1000 5000 120 0.3738
10830 1000 5000 130 0.3633
10830 1000 5000 140 0.3523
10830 1000 5000 150 0.3410
10830 1000 5000 160 0.3292
10830 1000 5000 170 0.3171
10830 1000 5000 180 0.3047
10830 1000 5000 190 0.2919
10830 1000 5000 200 0.2788
10830 1000 5000 210 0.2654
10830 1000 5000 220 0.2517
10830 1000 5000 230 0.2378
10830 1000 5000 240 0.2235
10830 1000 5000 250 0.2091
10830 1000 5000 260 0.1944
10830 1000 5000 270 0.1794
10830 1000 5000 280 0.1643
10830 1000 5000 290 0.1489
10830 1000 10000 0 0.4549
10830 1000 10000 10 0.4522
10830 1000 10000 20 0.4486
10830 1000 10000 30 0.4442
10830 1000 10000 40 0.4389
10830 1000 10000 50 0.4329
10830 1000 10000 60 0.4262
10830 1000 10000 70 0.4189
10830 1000 10000 80 0.4110
10830 1000 10000 90 0.4025
10830 1000 10000 100 0.3934
10830 1000 10000 110 0.3838
10830 1000 10000 120 0.3738
10830 1000 10000 130 0.3633
10830 1000 10000 140 0.3523
10830 1000 10000 150 0.3410
10830 1000 10000 160 0.3292
10830 1000 10000 170 0.3171
10830 1000 10000 180 0.3047
10830 1000 10000 190 0.2919
10830 1000 10000 200 0.2788
10830 1000 10000 210 0.2654
10830 1000 10000 220 0.2517
10830 1000 10000 230 0.2378
10830 1000 10000 240 0.2235
10830 1000 10000 250 0.2091
10830 1000 10000 260 0.1944
10830 1000 10000 270 0.1794
10830 1000 10000 280 0.1643
10830 1000 10000 290 0.1489
10830 1000 15000 0 0.4549
10830 1000 15000 10 0.4522
10830 1000 15000 20 0.4486
10830 1000 15000 30 0.4442
10830 1000 15000 40 0.4389
10830 1000 15000 50 0.4329
10830 1000 15000 60 0.4262
10830 1000 15000 70 0.4189
10830 1000 15000 80 0.4110
10830 1000 15000 90 0.4025
10830 1000 15000 100 0.3934
10830 1000 15000 110 0.3838
10830 1000 15000 120 0.3738
10830 1000 15000 130 0.3633
10830 1000 15000 140 0.3523
10830 1000 15000 150 0.3410
10830 1000 15000 160 0.3292
10830 1000 15000 170 0.3171
10830 1000 15000 180 0.3047
10830 1000 15000 190 0.2919
10830 1000 15000 200 0.2788
10830 1000 15000 210 0.2654
10830 1000 15000 220 0.2517
10830 1000 15000 230 0.2378
10830 1000 15000 240 0.2235
10830 1000 15000 250 0.2091
10830 1000 15000 260 0.1944
10830 1000 15000 270 0.1794
10830 1000 15000 280 0.1643
10830 1000 15000 290 0.1489
10830 1000 20000 0 0.4549
10830 1000 20000 10 0.4522
10830 1000 20000 20 0.4486
10830 1000 20000 30 0.4442
10830 1000 20000 40 0.4389
10830 1000 20000 50 0.4329
10830 1000 20000 60 0.4262
10830 1000 20000 70 0.4189
10830 1000 20000 80 0.4110
10830 1000 20000 90 0.4025
10830 1000 20000 100 0.3934
10830 1000 20000 110 0.3838
10830 1000 20000 120 0.3738
10830 1000 20000 130 0.3633
10830 1000 20000 140 0.3523
10830 1000 20000 150 0.3410
10830 1000 20000 160 0.3292
10830 1000 20000 170 0.3171
10830 1000 20000 180 0.3047
10830 1000 20000 190 0.2919
10830 1000 20000 200 0.2788
10830 1000 20000 210 0.2654
10830 1000 20000 220 0.2517
10830 1000 20000 230 0.2378
10830 1000 20000 240 0.2235
10830 1000 20000 250 0.2091
10830 1000 20000 260 0.1944
10830 1000 20000 270 0.1794
10830 1000 20000 280 0.1643
10830 1000 20000 290 0.1489
10830 1000 25000 0 0.4549
10830 1000 25000 10 0.4522
10830 1000 25000 20 0.4486
10830 1000 25000 30 0.4442
10830 1000 25000 40 0.4389
10830 1000 25000 50 0.4329
10830 1000 25000 60 0.4262
10830 1000 25000 70 0.4189
10830 1000 25000 80 0.4110
10830 1000 25000 90 0.4025
10830 1000 25000 100 0.3934
10830 1000 25000 110 0.3838
10830 1000 25000 120 0.3738
10830 1000 25000 130 0.3633
10830 1000 25000 140 0.3523
10830 1000 25000 150 0.3410
10830 1000 25000 160 0.3292
10830 1000 25000 170 0.3171
10830 1000 25000 180 0.3047
10830 1000 25000 190 0.2919
10830 1000 25000 200 0.2788
10830 1000 25000 210 0.2654
10830 1000 25000 220 0.2517
10830 1000 25000 230 0.2378
10830 1000 25000 240 0.2235
10830 1000 25000 250 0.2091
10830 1000 25000 260 0.1944
10830 1000 25000 270 0.1794
10830 1000 25000 280 0.1643
10830 1000 25000 290 0.1489
10830 3000 5000 0 0.2395
10830 3000 5000 10 0.2381
10830 3000 5000 20 0.2362
10830 3000 5000 30 0.2338
10830 3000 5000 40 0.2311
10830 3000 5000 50 0.2279
10830 3000 5000 60 0.2244
10830 3000 5000 70 0.2206
10830 3000 5000 80 0.2164
10830 3000 5000 90 0.2119
10830 3000 5000 100 0.2071
10830 3000 5000 110 0.2021
10830 3000 5000 120 0.1968
10830 3000 5000 130 0.1913
10830 3000 5000 140 0.1855
10830 3000 5000 150 0.1795
10830 3000 5000 160 0.1733
10830 3000 5000 170 0.1670
10830 3000 5000 180 0.1604
10830 3000 5000 190 0.1537
10830 3000 5000 200 0.1468
10830 3000 5000 210 0.1397
10830 3000 5000 220 0.1325
10830 3000 5000 230 0.1252
10830 3000 5000 240 0.1177
10830 3000 5000 250 0.1101
10830 3000 5000 260 0.1023
10830 3000 5000 270 0.0945
10830 3000 5000 280 0.0865
10830 3000 5000 290 0.0784
10830 3000 10000 0 0.2395
10830 3000 10000 10 0.2381
10830 3000 10000 20 0.2362
10830 3000 10000 30 0.2338
10830 3000 10000 40 0.2311
10830 3000 10000 50 0.2279
10830 3000 10000 60 0.2244
10830 3000 10000 70 0.2206
10830 3000 10000 80 0.2164
10830 3000 10000 90 0.2119
10830 3000 10000 100 0.2071
10830 3000 10000 110 0.2021
10830 3000 10000 120 0.1968
10830 3000 10000 130 0.1913
10830 3000 10000 140 0.1855
10830 3000 10000 150 0.1795
10830 3000 10000 160 0.1733
10830 3000 10000 170 0.1670
10830 3000 10000 180 0.1604
10830 3000 10000 190 0.1537
10830 3000 10000 200 0.1468
10830 3000 10000 210 0.1397
10830 3000 10000 220 0.1325
10830 3000 10000 230 0.1252
10830 3000 10000 240 0.1177
10830 3000 10000 250 0.1101
10830 3000 10000 260 0.1023
10830 3000 10000 270 0.0945
10830 3000 10000 280 0.0865
10830 3000 10000 290 0.0784
10830 3000 15000 0 0.2395
10830 3000 15000 10 0.2381
10830 3000 15000 20 0.2362
10830 3000 15000 30 0.2338
10830 3000 15000 40 0.2311
10830 3000 15000 50 0.2279
10830 3000 15000 60 0.2244
10830 3000 15000 70 0.2206
10830 3000 15000 80 0.2164
10830 3000 15000 90 0.2119
10830 3000 15000 100 0.2071
10830 3000 15000 110 0.2021
10830 3000 15000 120 0.1968
10830 3000 15000 130 0.1913
10830 3000 15000 140 0.1855
10830 3000 15000 150 0.1795
10830 3000 15000 160 0.1733
10830 3000 15000 170 0.1670
10830 3000 15000 180 0.1604
10830 3000 15000 190 0.1537
10830 3000 15000 200 0.1468
10830 3000 15000 210 0.1397
10830 3000 15000 220 0.1325
10830 3000 15000 230 0.1252
10830 3000 15000 240 0.1177
10830 3000 15000 250 0.1101
10830 3000 15000 260 0.1023
10830 3000 15000 270 0.0945
10830 3000 15000 280 0.0865
10830 3000 15000 290 0.0784
10830 3000 20000 0 0.2395
10830 3000 20000 10 0.2381
10830 3000 20000 20 0.2362
10830 3000 20000 30 0.2338
10830 3000 20000 40 0.2311
10830 3000 20000 50 0.2279
10830 3000 20000 60 0.2244
10830 3000 20000 70 0.2206
10830 3000 20000 80 0.2164
10830 3000 20000 90 0.2119
10830 3000 20000 100 0.2071
10830 3000 20000 110 0.2021
10830 3000 20000 120 0.1968
10830 3000 20000 130 0.1913
10830 3000 20000 140 0.1855
10830 3000 20000 150 0.1795
10830 3000 20000 160 0.1733
10830 3000 20000 170 0.1670
10830 3000 20000 180 0.1604
10830 3000 20000 190 0.1537
10830 3000 20000 200 0.1468
10830 3000 20000 210 0.1397
10830 3000 20000 220 0.1325
10830 3000 20000 230 0.1252
10830 3000 20000 240 0.1177
10830 3000 20000 250 0.1101
10830 3000 20000 260 0.1023
10830 3000 20000 270 0.0945
10830 3000 20000 280 0.0865
10830 3000 20000 290 0.0784
10830 3000 25000 0 0.2395
10830 3000 25000 10 0.2381
10830 3000 25000 20 0.2362
10830 3000 25000 30 0.2338
10830 3000 25000 40 0.2311
10830 3000 25000 50 0.2279
10830 3000 25000 60 0.2244
10830 3000 25000 70 0.2206
10830 3000 25000 80 0.2164
10830 3000 25000 90 0.2119
10830 3000 25000 100 0.2071
10830 3000 25000 110 0.2021
10830 3000 25000 120 0.1968
10830 3000 25000 130 0.1913
10830 3000 25000 140 0.1855
10830 3000 25000 150 0.1795
10830 3000 25000 160 0.1733
10830 3000 25000 170 0.1670
10830 3000 25000 180 0.1604
10830 3000 25000 190 0.1537
10830 3000 25000 200 0.1468
10830 3000 25000 210 0.1397
10830 3000 25000 220 0.1325
10830 3000 25000 230 0.1252
10830 3000 25000 240 0.1177
10830 3000 25000 250 0.1101
10830 3000 25000 260 0.1023
10830 3000 25000 270 0.0945
10830 3000 25000 280 0.0865
10830 3000 25000 290 0.0784
10830 10000 5000 0 0.0901
10830 10000 5000 10 0.0896
10830 10000 5000 20 0.0888
10830 10000 5000 30 0.0880
10830 10000 5000 40 0.0869
10830 10000 5000 50 0.0857
10830 10000 5000 60 0.0844
10830 10000 5000 70 0.0830
10830 10000 5000 80 0.0814
10830 10000 5000 90 0.0797
10830 10000 5000 100 0.0779
10830 10000 5000 110 0.0760
10830 10000 5000 120 0.0740
10830 10000 5000 130 0.0719
10830 10000 5000 140 0.0698
10830 10000 5000 150 0.0675
10830 10000 5000 160 0.0652
10830 10000 5000 170 0.0628
10830 10000 5000 180 0.0603
10830 10000 5000 190 0.0578
10830 10000 5000 200 0.0552
10830 10000 5000 210 0.0526
10830 10000 5000 220 0.0499
10830 10000 5000 230 0.0471
10830 10000 5000 240 0.0443
10830 10000 5000 250 0.0414
10830 10000 5000 260 0.0385
10830 10000 5000 270 0.0355
10830 10000 5000 280 0.0325
10830 10000 5000 290 0.0295
10830 10000 10000 0 0.0901
10830 10000 10000 10 0.0896
10830 10000 10000 20 0.0888
10830 10000 10000 30 0.0880
10830 10000 10000 40 0.0869
10830 10000 10000 50 0.0857
10830 10000 10000 60 0.0844
10830 10000 10000 70 0.0830
10830 10000 10000 80 0.0814
10830 10000 10000 90 0.0797
10830 10000 10000 100 0.0779
10830 10000 10000 110 0.0760
10830 10000 10000 120 0.0740
10830 10000 10000 130 0.0719
10830 10000 10000 140 0.0698
10830 10000 10000 150 0.0675
10830 10000 10000 160 0.0652
10830 10000 10000 170 0.0628
10830 10000 10000 180 0.0603
10830 10000 10000 190 0.0578
10830 10000 10000 200 0.0552
10830 10000 10000 210 0.0526
10830 10000 10000 220 0.0499
10830 10000 10000 230 0.0471
10830 10000 10000 240 0.0443
10830 10000 10000 250 0.0414
10830 10000 10000 260 0.0385
10830 10000 10000 270 0.0355
10830 10000 10000 280 0.0325
10830 10000 10000 290 0.0295
10830 10000 15000 0 0.0901
10830 10000 15000 10 0.0896
