# line ne Te tau C
# SFR = C * L_HeI / (1.26e41) / (0.0852 Y) Msun/yr
# Y = 0.25+26.13*10**(logOH-12); Izotov+14
# see Morishita et al., 2024
10830 10000 25000 160 0.0652
10830 10000 25000 170 0.0628
10830 10000 25000 180 0.0603
10830 10000 25000 190 0.0578
10830 10000 25000 200 0.0552
10830 10000 25000 210 0.0526
10830 10000 25000 220 0.0499
10830 10000 25000 230 0.0471
10830 10000 25000 240 0.0443
10830 10000 25000 250 0.0414
10830 10000 25000 260 0.0385
10830 10000 25000 270 0.0355
10830 10000 25000 280 0.0325
10830 10000 25000 290 0.0295
10830 30000 5000 0 0.0902
10830 30000 5000 10 0.0896
10830 30000 5000 20 0.0889
10830 30000 5000 30 0.0880
10830 30000 5000 40 0.0870
10830 30000 5000 50 0.0858
10830 30000 5000 60 0.0845
10830 30000 5000 70 0.0830
10830 30000 5000 80 0.0815
10830 30000 5000 90 0.0798
10830 30000 5000 100 0.0780
10830 30000 5000 110 0.0761
10830 30000 5000 120 0.0741
10830 30000 5000 130 0.0720
10830 30000 5000 140 0.0698
10830 30000 5000 150 0.0676
10830 30000 5000 160 0.0653
10830 30000 5000 170 0.0629
10830 30000 5000 180 0.0604
10830 30000 5000 190 0.0579
10830 30000 5000 200 0.0553
10830 30000 5000 210 0.0526
10830 30000 5000 220 0.0499
10830 30000 5000 230 0.0471
10830 30000 5000 240 0.0443
10830 30000 5000 250 0.0414
10830 30000 5000 260 0.0385
10830 30000 5000 270 0.0356
10830 30000 5000 280 0.0326
10830 30000 5000 290 0.0295
10830 30000 10000 0 0.0902
10830 30000 10000 10 0.0896
10830 30000 10000 20 0.0889
10830 30000 10000 30 0.0880
10830 30000 10000 40 0.0870
10830 30000 10000 50 0.0858
10830 30000 10000 60 0.0845
10830 30000 10000 70 0.0830
10830 30000 10000 80 0.0815
10830 30000 10000 90 0.0798
10830 30000 10000 100 0.0780
10830 30000 10000 110 0.0761
10830 30000 10000 120 0.0741
10830 30000 10000 130 0.0720
10830 30000 10000 140 0.0698
10830 30000 10000 150 0.0676
10830 30000 10000 160 0.0653
10830 30000 10000 170 0.0629
10830 30000 10000 180 0.0604
10830 30000 10000 190 0.0579
10830 30000 10000 200 0.0553
10830 30000 10000 210 0.0526
10830 30000 10000 220 0.0499
10830 30000 10000 230 0.0471
10830 30000 10000 240 0.0443
10830 30000 10000 250 0.0414
10830 30000 10000 260 0.0385
10830 30000 10000 270 0.0356
10830 30000 10000 280 0.0326
10830 30000 10000 290 0.0295
10830 30000 15000 0 0.0902
10830 30000 15000 10 0.0896
10830 30000 15000 20 0.0889
10830 30000 15000 30 0.0880
10830 30000 15000 40 0.0870
10830 30000 15000 50 0.0858
10830 30000 15000 60 0.0845
10830 30000 15000 70 0.0830
10830 30000 15000 80 0.0815
10830 30000 15000 90 0.0798
10830 30000 15000 100 0.0780
10830 30000 15000 110 0.0761
10830 30000 15000 120 0.0741
10830 30000 15000 130 0.0720
10830 30000 15000 140 0.0698
10830 30000 15000 150 0.0676
10830 30000 15000 160 0.0653
10830 30000 15000 170 0.0629
10830 30000 15000 180 0.0604
10830 30000 15000 190 0.0579
10830 30000 15000 200 0.0553
10830 30000 15000 210 0.0526
10830 30000 15000 220 0.0499
10830 30000 15000 230 0.0471
10830 30000 15000 240 0.0443
10830 30000 15000 250 0.0414
10830 30000 15000 260 0.0385
10830 30000 15000 270 0.0356
10830 30000 15000 280 0.0326
10830 30000 15000 290 0.0295
10830 30000 20000 0 0.0902
10830 30000 20000 10 0.0896
10830 30000 20000 20 0.0889
10830 30000 20000 30 0.0880
10830 30000 20000 40 0.0870
10830 30000 20000 50 0.0858
10830 30000 20000 60 0.0845
10830 30000 20000 70 0.0830
10830 30000 20000 80 0.0815
10830 30000 20000 90 0.0798
10830 30000 20000 100 0.0780
10830 30000 20000 110 0.0761
10830 30000 20000 120 0.0741
10830 30000 20000 130 0.0720
10830 30000 20000 140 0.0698
10830 30000 20000 150 0.0676
10830 30000 20000 160 0.0653
10830 30000 20000 170 0.0629
10830 30000 20000 180 0.0604
10830 30000 20000 190 0.0579
10830 30000 20000 200 0.0553
10830 30000 20000 210 0.0526
10830 30000 20000 220 0.0499
10830 30000 20000 230 0.0471
10830 30000 20000 240 0.0443
10830 30000 20000 250 0.0414
10830 30000 20000 260 0.0385
10830 30000 20000 270 0.0356
10830 30000 20000 280 0.0326
10830 30000 20000 290 0.0295
10830 30000 25000 0 0.0902
10830 30000 25000 10 0.0896
10830 30000 25000 20 0.0889
10830 30000 25000 30 0.0880
10830 30000 25000 40 0.0870
10830 30000 25000 50 0.0858
10830 30000 25000 60 0.0845
10830 30000 25000 70 0.0830
10830 30000 25000 80 0.0815
10830 30000 25000 90 0.0798
10830 30000 25000 100 0.0780
10830 30000 25000 110 0.0761
10830 30000 25000 120 0.0741
10830 30000 25000 130 0.0720
10830 30000 25000 140 0.0698
10830 30000 25000 150 0.0676
10830 30000 25000 160 0.0653
10830 30000 25000 170 0.0629
10830 30000 25000 180 0.0604
10830 30000 25000 190 0.0579
10830 30000 25000 200 0.0553
10830 30000 25000 210 0.0526
10830 30000 25000 220 0.0499
10830 30000 25000 230 0.0471
10830 30000 25000 240 0.0443
10830 30000 25000 250 0.0414
10830 30000 25000 260 0.0385
10830 30000 25000 270 0.0356
10830 30000 25000 280 0.0326
10830 30000 25000 290 0.0295
10830 100000 5000 0 0.0902
10830 100000 5000 10 0.0896
10830 100000 5000 20 0.0889
10830 100000 5000 30 0.0880
10830 100000 5000 40 0.0870
10830 100000 5000 50 0.0858
10830 100000 5000 60 0.0845
10830 100000 5000 70 0.0830
10830 100000 5000 80 0.0815
10830 100000 5000 90 0.0798
10830 100000 5000 100 0.0780
10830 100000 5000 110 0.0761
10830 100000 5000 120 0.0741
10830 100000 5000 130 0.0720
10830 100000 5000 140 0.0698
10830 100000 5000 150 0.0676
10830 100000 5000 160 0.0653
10830 100000 5000 170 0.0629
10830 100000 5000 180 0.0604
10830 100000 5000 190 0.0579
10830 100000 5000 200 0.0553
10830 100000 5000 210 0.0526
10830 100000 5000 220 0.0499
10830 100000 5000 230 0.0471
10830 100000 5000 240 0.0443
10830 100000 5000 250 0.0414
10830 100000 5000 260 0.0385
10830 100000 5000 270 0.0356
10830 100000 5000 280 0.0326
10830 100000 5000 290 0.0295
10830 100000 10000 0 0.0902
10830 100000 10000 10 0.0896
10830 100000 10000 20 0.0889
10830 100000 10000 30 0.0880
10830 100000 10000 40 0.0870
10830 100000 10000 50 0.0858
10830 100000 10000 60 0.0845
10830 100000 10000 70 0.0830
10830 100000 10000 80 0.0815
10830 100000 10000 90 0.0798
10830 100000 10000 100 0.0780
10830 100000 10000 110 0.0761
10830 100000 10000 120 0.0741
10830 100000 10000 130 0.0720
10830 100000 10000 140 0.0698
10830 100000 10000 150 0.0676
10830 100000 10000 160 0.0653
10830 100000 10000 170 0.0629
10830 100000 10000 180 0.0604
10830 100000 10000 190 0.0579
10830 100000 10000 200 0.0553
10830 100000 10000 210 0.0526
10830 100000 10000 220 0.0499
10830 100000 10000 230 0.0471
10830 100000 10000 240 0.0443
10830 100000 10000 250 0.0414
10830 100000 10000 260 0.0385
10830 100000 10000 270 0.0356
10830 100000 10000 280 0.0326
10830 100000 10000 290 0.0295
10830 100000 15000 0 0.0902
10830 100000 15000 10 0.0896
10830 100000 15000 20 0.0889
10830 100000 15000 30 0.0880
10830 100000 15000 40 0.0870
10830 100000 15000 50 0.0858
10830 100000 15000 60 0.0845
10830 100000 15000 70 0.0830
10830 100000 15000 80 0.0815
10830 100000 15000 90 0.0798
10830 100000 15000 100 0.0780
10830 100000 15000 110 0.0761
10830 100000 15000 120 0.0741
10830 100000 15000 130 0.0720
10830 100000 15000 140 0.0698
10830 100000 15000 150 0.0676
10830 100000 15000 160 0.0653
10830 100000 15000 170 0.0629
10830 100000 15000 180 0.0604
10830 100000 15000 190 0.0579
10830 100000 15000 200 0.0553
10830 100000 15000 210 0.0526
10830 100000 15000 220 0.0499
10830 100000 15000 230 0.0471
10830 100000 15000 240 0.0443
10830 100000 15000 250 0.0414
10830 100000 15000 260 0.0385
10830 100000 15000 270 0.0356
10830 100000 15000 280 0.0326
10830 100000 15000 290 0.0295
10830 100000 20000 0 0.0902
10830 100000 20000 10 0.0896
10830 100000 20000 20 0.0889
10830 100000 20000 30 0.0880
10830 100000 20000 40 0.0870
10830 100000 20000 50 0.0858
10830 100000 20000 60 0.0845
10830 100000 20000 70 0.0830
10830 100000 20000 80 0.0815
10830 100000 20000 90 0.0798
10830 100000 20000 100 0.0780
10830 100000 20000 110 0.0761
10830 100000 20000 120 0.0741
10830 100000 20000 130 0.0720
10830 100000 20000 140 0.0698
10830 100000 20000 150 0.0676
10830 100000 20000 160 0.0653
10830 100000 20000 170 0.0629
10830 100000 20000 180 0.0604
10830 100000 20000 190 0.0579
10830 100000 20000 200 0.0553
10830 100000 20000 210 0.0526
10830 100000 20000 220 0.0499
10830 100000 20000 230 0.0471
10830 100000 20000 240 0.0443
10830 100000 20000 250 0.0414
10830 100000 20000 260 0.0385
10830 100000 20000 270 0.0356
10830 100000 20000 280 0.0326
10830 100000 20000 290 0.0295
10830 100000 25000 0 0.0902
10830 100000 25000 10 0.0896
10830 100000 25000 20 0.0889
10830 100000 25000 30 0.0880
10830 100000 25000 40 0.0870
10830 100000 25000 50 0.0858
10830 100000 25000 60 0.0845
10830 100000 25000 70 0.0830
10830 100000 25000 80 0.0815
10830 100000 25000 90 0.0798
10830 100000 25000 100 0.0780
10830 100000 25000 110 0.0761
10830 100000 25000 120 0.0741
10830 100000 25000 130 0.0720
10830 100000 25000 140 0.0698
10830 100000 25000 150 0.0676
10830 100000 25000 160 0.0653
10830 100000 25000 170 0.0629
10830 100000 25000 180 0.0604
10830 100000 25000 190 0.0579
10830 100000 25000 200 0.0553
10830 100000 25000 210 0.0526
10830 100000 25000 220 0.0499
10830 100000 25000 230 0.0471
10830 100000 25000 240 0.0443
10830 100000 25000 250 0.0414
10830 100000 25000 260 0.0385
10830 100000 25000 270 0.0356
10830 100000 25000 280 0.0326
10830 100000 25000 290 0.0295
