# Emissivities T5000 T10000 T20000 a b c e
# Benjamin+1999 ApJ_514_307
4pijHb/nenH+ 2.29e-25 1.26e-25 6.61e-26 1.36e-25 -0.979 -0.078 0.67 
4pij4686/nenHe++ 2.84e-24 1.44e-24 7.04e-25 1.56e-24 -1.091 -0.079 0.64
4pijBr/nenH+ 2.17e-25 1.15e-25 5.76e-26 1.27e-25 -1.065 -0.102 0.70 
4pij4473/nenHe+ 1.21e-25 6.70e-26 5.58e-26 3.03e-26 0.286 0.793 4.02 
j2946/j4473 0.361 0.417 0.335 2.57e-26 -0.525 0.082 0.94 
j3189/j4473 0.759 0.943 0.981 4.01e-26 0.120 0.454 1.59 
j3615/j4473 0.096 0.104 0.072 7.61e-27 -0.863 -0.092 0.52 
j3890/j4473 1.929 2.677 2.991 1.22e-25 0.189 0.388 2.30
j3966/j4473 0.197 0.219 0.178 1.24e-26 -0.448 0.169 0.56
j4027/j4473 0.452 0.432 0.259 3.29e-26 -1.095 -0.128 0.75
j4122/j4473 0.028 0.036 0.033 2.31e-27 -0.382 0.055 0.52 
j4389/j4473 0.121 0.114 0.068 8.76e-26 -1.117 -0.134 0.53
j4439/j4473 0.013 0.016 0.013 1.04e-27 -0.542 0.89 0.51
j4473/j4473 1.000 1.000 1.000 3.03e-26 0.286 0.793 4.02 
j4715/j4473 0.077 0.159 0.309 5.15e-27 1.263 0.726 5.81 
j4923/j4473 0.269 0.258 0.189 1.32e-26 -0.524 0.269 0.62 
j5017/j4473 0.505 0.578 0.486 3.16e-26 -0.363 0.201 0.77 
j5049/j4473 0.031 0.047 0.060 1.90e-27 0.471 0.503 0.78 
j5877/j4473 2.916 2.972 3.186 8.03e-26 0.484 0.908 3.12 
j6680/j4473 0.834 0.769 0.536 4.03e-26 -0.607 0.247 0.56 
j7067/j4473 0.429 1.095 1.639 9.25e-26 0.182 -0.232 3.91 
j7283/j4473 0.121 0.212 0.243 1.45e-26 -0.051 -0.018 0.85 
j9466/j4473 0.020 0.023 0.019 1.42e-27 -0.525 0.082 0.94 
j10833/j4473 19.346 39.911 45.367 3.85e-24 -0.332 -0.365 3.05 
j11973/j4473 0.046 0.044 0.026 3.32e-27 -1.095 -0.128 0.75 
j12531/j4473 0.024 0.030 0.031 1.28e-27 0.120 0.454 1.59
j12789/j4473 0.170 0.139 0.071 1.06e-26 -1.318 -0.125 0.69
j12793/j4473 0.057 0.046 0.024 3.52e-27 -1.318 -0.125 0.52
j12972/j4473 0.015 0.014 0.009 1.11e-27 -1.117 -0.134 0.53
j15088/j4473 0.010 0.012 0.009 6.59e-28 -0.448 0.169 0.56
j17007/j4473 0.066 0.066 0.066 2.01e-27 0.286 0.794 4.02 
j18690/j4473 0.411 0.335 0.229 1.44e-26 -0.510 0.443 2.57
j18701/j4473 0.137 0.108 0.058 6.95e-27 -1.129 0.82 0.54 
j19091/j4473 0.025 0.024 0.017 1.22e-27 -0.524 0.269 0.62
j19550/j4473 0.014 0.018 0.018 7.50e-28 0.120 0.454 1.59 
j10589/j4473 0.875 1.217 0.978 1.07e-25 -0.755 -0.269 0.72
j21128/j4473 0.012 0.024 0.047 7.86e-28 1.263 0.726 5.81 
